,textID,text,selected_text,sentiment,class
25440,aa4c750c17, Right on! Pull up a chair and welcome,d welcome,positive,2
18396,6398edc9df, http://twitpic.com/5wb0k - what a mess. we`re missing the bra strap.,mess.,negative,0
12716,a964805707,"Started the week with a wedding, now ending the week with a funeral","Started the week with a wedding, now ending the week with a funeral",neutral,1
13817,adc380104d,A movie`s worst fate used to be 'Straight to DVD'. Now it is 'Straight to DivX' or 'Straight to Internet',A movie`s worst fate us,negative,0
17350,8d8b74824d,No one is at the tesla dealership,No one is at the tesla dealership,neutral,1
19620,d8aa90a4a5,I dont feel good AT ALL. fuckkk,I dont feel good AT ALL. fuckkk,negative,0
10009,c532a112f7, I don`t think I can bear such cuteness this early in the day! Kudos to Fair Empress,Kudos,positive,2
5704,5210ebf3d3,2nd period studyhall + remembered my ipod = music time!,2nd period studyhall + remembered my ipod = music time!,neutral,1
18818,9434477ce5, HAHA all because of chocolate? Always knew your heart was in your stomach. Wait till you try the truffles,Always knew your heart was in your stomach.,positive,2
155,b948984e8d,Mmmmmmmm... ? it in the morning,Mmmmmmmm... ? it in the morning,neutral,1
20064,f087e45bff,Yay! Made my first sale on RedBubble - that makes me so happy   http://bit.ly/1gURq,Yay!,positive,2
23524,dce4480092," And a good morning to you!  Up early with a bad conscience, trying to make up for taking a day off yesterday, are we? :p","good morning to you!  Up early with a bad conscience,",neutral,1
18786,9282c2a9e4,"_bui yeah right. I just accepted my grants, and it covered at least 10,000+ of my school fees. tritonlink is down so i cant verify",tritonlink is down,negative,0
25998,8093ff4222,    Whn r u goin to Europe?,Whn r u goin to Europe,neutral,1
16749,7635514fab,FANTASTIC week in London but ATROCIOUS 8 hour journey home,FANTASTIC week in London,positive,2
4043,03ff7b5de5, I`m so mad I cant go to that...you`re like an hour away from me.,I`m so mad,negative,0
22217,0952f69f94,He is so silly.  http://twitpic.com/4jk6b,He is so silly.,negative,0
14049,78e2cd4c7a, OMG!! that is tragic!,OMG!! that is tragic!,neutral,1
9102,845e3fa52c, i guesss,i guesss,neutral,1
3398,ff67416a7a," I`m not sure which part you`re replying to, lol - but BB starts soon","I`m not sure which part you`re replying to, lol - but BB starts soon",neutral,1
7901,35469bc08d,jazzy we should be in vegas w A team,jazzy we should be in vegas w A team,neutral,1
25437,0a513bf6b8,Is responding to an email.,Is responding to an email.,neutral,1
27240,40143b692e, who knows  It makes me sad  lol,e sad,negative,0
19597,4743167f21,Gotta TeraByte  of space to store movies,Gotta TeraByte  of space to store movies,neutral,1
12697,cea7a4580c,"One load of washing put away, and another load on. Amazing how the house doesn`t look any better for all my efforts",Amazing how the house doesn`t look any better for all my efforts,negative,0
21416,14376c40dc,Just found out that one of my coworkers in St. Paul (who I actually know and talk to) got laid off. This blows.,blows.,negative,0
1116,c31e69a36d, What??  Nooooooooo      There goes my weekend!,What??  Nooooooooo      There goes my week,neutral,1
24821,ea0856046c,Just got back from the karaoke bar in the metreon!!! Watching millionaire matchmaker,Just got back from the karaoke bar in the metreon!!! Watching millionaire matchmaker,neutral,1
15336,74b8baf1ec,And other girls come over... And my boyfriend forgets that I`m here,forgets,negative,0
6827,fb2cca9d5c,my finger hurts cause its infected!,my finger hurts,negative,0
27242,48a317e32c,Happy Mother`s Day !,Happy Mother`s Day !,positive,2
23898,fda3d9467e," Yeah man, been a while since I heard you spittin`.","Yeah man, been a while since I heard you spittin`.",neutral,1
3589,df31ac9e8d,"ugh, not sure i have the patience or remaining intelligence at this point in the day (week?) to refactor and rewrite this package of code",intelligence,positive,2
3582,18f17cb63c,"awww, watching 18 y.o. britney on snl. she`s so young and cute and really funny! i miss this britney",she`s so young and cute and really funny! i miss this britney,positive,2
20845,210fa09de7,"Making a mix! 22 minutes so far, aiming for 30 minutes  loving it so far!!!  DJ Sugarfree",loving,positive,2
8779,9bcd32d254, It`s depressing I`m stuck inside all day,It`s depressing I`m stuck inside all day,negative,0
10493,857866a830,Dakota just had a her first bath since being spayed... She was in Heaven!,Heaven!,positive,2
12736,6bb8a82c31,omg i just slept like 18hrs in the last 22hrs...  i think i`m dying or something   reminds me of catcher,omg i just slept like 18hrs in the last 22hrs...  i think i`m dying or something   reminds me of catche,negative,0
18806,54a55028d0, Thank you! You know I really love `BHB`,Thank you!,positive,2
5821,ddf6fd773d,"aaauuuggghhh! in n out, check! mcdonald`s, check! haha, next is hot cheetos!","aaauuuggghhh! in n out, check! mcdonald`s, check! haha, next is hot cheetos!",neutral,1
10015,3a00255dba,my twitter looks funny  someone help!,my twitter looks funny  someone help!,negative,0
17740,5bc53562d3,"love is like a war,,easy to begin, hard to end..fiuuhh...","love is like a war,,easy to begin, hard to end..fiuuhh...",neutral,1
1796,883a914f2e,Somebody please save the polar bears!,Somebody please save the polar bears!,positive,2
8957,fe3f3401d8,Woke up to the sound of my neighbor getting a new roof,Woke up to the sound of my neighbor getting a new roof,neutral,1
23490,48a2a08d55,"_pills we have a punching bag here! but ive never touched it, covered with my brother`s sweat.. but u can use it if u want! hehe","_pills we have a punching bag here! but ive never touched it, covered with my brother`s sweat.. but u can use it if u want! hehe",neutral,1
4571,9fb850fd0c,_bbcrew dude im sleepy and went to bed as soon as i got home.  whhaacck.,_bbcrew dude im sleepy and went to bed as soon as i got home.  whhaacck.,neutral,1
22336,59ec2945d5,R.I.P. Sammie the Cat,R.I.P. Sammie the Cat,neutral,1
16393,6250f7203e, oi  i love you,i love you,positive,2
14092,71494b0733," ooh a storm, that`s always welcome news  Happy Mothers Day!",Happy,positive,2
15453,48d3265ed7," i`ll be back on it later today, got plenty of gold, but willing to help you out, if you need anything at all","i`ll be back on it later today, got plenty of gold, but willing to help you out, if you need anything at all",neutral,1
8890,1e83e54b27, i want 2 but i dinna hink it`ll get shown in elgin n got nae1 2 go with(n),i want 2 but i dinna hink it`ll get shown in elgin n got nae1 2 go with(n),neutral,1
4899,a472edc463, thanks Daxx you too!  God Bless you brother!,God Bless you brother!,positive,2
12504,842953e8a8,"just missed to answer his IM AGAIN! For the nth time! This is making me sad.  Whenever he IM (which is all the time), I am always out.",sad.,negative,0
9278,5fb3301a8f, It`s too nice to be inside,nice,positive,2
